상호,건물,카테고리,주소,네이버검색(클릭),전화번호(여기채우기)
멸치집,엠스테이트,횟집,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EB%A9%B8%EC%B9%98%EC%A7%91,
모스컴퍼니,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EB%AA%A8%EC%8A%A4%EC%BB%B4%ED%8D%BC%EB%8B%88,
무청감자탕,엠스테이트,국/탕/찌개류,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EB%AC%B4%EC%B2%AD%EA%B0%90%EC%9E%90%ED%83%95,
미도인문정법조타운,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EB%AF%B8%EB%8F%84%EC%9D%B8%EB%AC%B8%EC%A0%95%EB%B2%95%EC%A1%B0%ED%83%80%EC%9A%B4,
밀숲,엠스테이트,국수/칼국수,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EB%B0%80%EC%88%B2,
봉희컴퍼니,엠스테이트,김밥/만두/분식,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EB%B4%89%ED%9D%AC%EC%BB%B4%ED%8D%BC%EB%8B%88,
삼식이감자탕,엠스테이트,국/탕/찌개류,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%82%BC%EC%8B%9D%EC%9D%B4%EA%B0%90%EC%9E%90%ED%83%95,
서브웨이문정역점,엠스테이트,토스트/샌드위치/샐러드,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%84%9C%EB%B8%8C%EC%9B%A8%EC%9D%B4%EB%AC%B8%EC%A0%95%EC%97%AD%EC%A0%90,
석정,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%84%9D%EC%A0%95,
속초오징어어시장,엠스테이트,횟집,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%86%8D%EC%B4%88%EC%98%A4%EC%A7%95%EC%96%B4%EC%96%B4%EC%8B%9C%EC%9E%A5,
신숙이네양평해장국,엠스테이트,국/탕/찌개류,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%8B%A0%EC%88%99%EC%9D%B4%EB%84%A4%EC%96%91%ED%8F%89%ED%95%B4%EC%9E%A5%EA%B5%AD,
어부의만찬투,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%96%B4%EB%B6%80%EC%9D%98%EB%A7%8C%EC%B0%AC%ED%88%AC,
엠,엠스테이트,경양식,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%97%A0,
여러시멘야카오리,엠스테이트,일식 회/초밥,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%97%AC%EB%9F%AC%EC%8B%9C%EB%A9%98%EC%95%BC%EC%B9%B4%EC%98%A4%EB%A6%AC,
염원카츠,엠스테이트,일식 카레/돈가스/덮밥,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%97%BC%EC%9B%90%EC%B9%B4%EC%B8%A0,
오꼬내꼬,엠스테이트,그 외 기타 간이 음식점,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%98%A4%EA%BC%AC%EB%82%B4%EA%BC%AC,
요우,엠스테이트,일식 회/초밥,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%9A%94%EC%9A%B0,
우리연동우황태,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%9A%B0%EB%A6%AC%EC%97%B0%EB%8F%99%EC%9A%B0%ED%99%A9%ED%83%9C,
우즈마키문정,엠스테이트,일식 회/초밥,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%9A%B0%EC%A6%88%EB%A7%88%ED%82%A4%EB%AC%B8%EC%A0%95,
원해장,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%9B%90%ED%95%B4%EC%9E%A5,
육대장문정역엠스테이트점,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%9C%A1%EB%8C%80%EC%9E%A5%EB%AC%B8%EC%A0%95%EC%97%AD%EC%97%A0%EC%8A%A4%ED%85%8C%EC%9D%B4%ED%8A%B8%EC%A0%90,
이병태함흥냉면,엠스테이트,냉면/밀면,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%9D%B4%EB%B3%91%ED%83%9C%ED%95%A8%ED%9D%A5%EB%83%89%EB%A9%B4,
이천밥쌤,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%9D%B4%EC%B2%9C%EB%B0%A5%EC%8C%A4,
자연과건강,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%9E%90%EC%97%B0%EA%B3%BC%EA%B1%B4%EA%B0%95,
