상호,건물,카테고리,주소,네이버검색(클릭),전화번호(여기채우기)
남양식당,SKV1/GL메트로시티,백반/한정식,서울특별시 송파구 법원로 128,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EB%82%A8%EC%96%91%EC%8B%9D%EB%8B%B9,
더돈부리,SKV1/GL메트로시티,일식 카레/돈가스/덮밥,서울특별시 송파구 법원로 128,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EB%8D%94%EB%8F%88%EB%B6%80%EB%A6%AC,
라슈펠,SKV1/GL메트로시티,백반/한정식,서울특별시 송파구 법원로 128,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EB%9D%BC%EC%8A%88%ED%8E%A0,
미드나잇카페엔드갤러리,SKV1/GL메트로시티,경양식,서울특별시 송파구 법원로 128,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EB%AF%B8%EB%93%9C%EB%82%98%EC%9E%87%EC%B9%B4%ED%8E%98%EC%97%94%EB%93%9C%EA%B0%A4%EB%9F%AC%EB%A6%AC,
산들해,SKV1/GL메트로시티,백반/한정식,서울특별시 송파구 법원로 128,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%82%B0%EB%93%A4%ED%95%B4,
아들내미분식송파,SKV1/GL메트로시티,김밥/만두/분식,서울특별시 송파구 법원로 128,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%95%84%EB%93%A4%EB%82%B4%EB%AF%B8%EB%B6%84%EC%8B%9D%EC%86%A1%ED%8C%8C,
알리바바카페테리아,SKV1/GL메트로시티,구내식당,서울특별시 송파구 법원로 128,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%95%8C%EB%A6%AC%EB%B0%94%EB%B0%94%EC%B9%B4%ED%8E%98%ED%85%8C%EB%A6%AC%EC%95%84,
알리바바홈푸드,SKV1/GL메트로시티,백반/한정식,서울특별시 송파구 법원로 128,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%95%8C%EB%A6%AC%EB%B0%94%EB%B0%94%ED%99%88%ED%91%B8%EB%93%9C,
에이포자산관리,SKV1/GL메트로시티,중국집,서울특별시 송파구 법원로 128,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%97%90%EC%9D%B4%ED%8F%AC%EC%9E%90%EC%82%B0%EA%B4%80%EB%A6%AC,
타이완벤땅,SKV1/GL메트로시티,기타 동남아식 전문,서울특별시 송파구 법원로 128,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%ED%83%80%EC%9D%B4%EC%99%84%EB%B2%A4%EB%95%85,
포텐,SKV1/GL메트로시티,베트남식 전문,서울특별시 송파구 법원로 128,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%ED%8F%AC%ED%85%90,
풀하우스,SKV1/GL메트로시티,피자,서울특별시 송파구 법원로 128,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%ED%92%80%ED%95%98%EC%9A%B0%EC%8A%A4,
